in:WWR,in:g,in:Uwin,in:Uwal,in:IntShd,in:ExtShd,in:DaylightCtrl,out:TEDI,out:HDI,out:CDI,out:DF%,out:SGI,img
0.6,0.1,1.6,0.15,None,ExtStr+Lvr,On,4.823121,1.272623,6.071351,13.068652,1.814597,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin1.6_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.8,0.1,1.2,0.9,None,ExtStr+Lvr,On,4.828421,1.496422,5.697718,15.694789,2.044221,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin1.2_Uwal0.9_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.8,0.1,1.6,0.15,None,ExtStr+Lvr,On,4.835669,1.798806,5.193035,15.674111,2.178432,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin1.6_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.4,0.1,1.2,0.26,None,ExtStr+Lvr,On,4.84484,0.657603,7.160175,10.421836,1.187334,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin1.2_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.95,0.1,0.8,0.15,None,ExtStr,On,4.870189,0.88588,6.813168,24.813896,6.989162,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.1_Uwin0.8_Uwal0.15_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.95,0.1,0.8,0.26,None,ExtStr,On,4.876685,0.895579,6.807692,24.896609,6.989162,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.1_Uwin0.8_Uwal0.26_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.95,0.1,0.8,0.15,None,ExtStr+Lvr,On,4.877144,0.928287,6.752546,17.121588,2.324153,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.1_Uwin0.8_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.8,0.1,1.6,0.26,None,ExtStr+Lvr,On,4.87745,1.832164,5.207439,15.818859,2.178432,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin1.6_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.4,0.1,1.6,0.26,None,ExtStr+Lvr,On,4.888063,0.904489,6.811911,10.587262,1.265288,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin1.6_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.95,0.1,0.8,0.26,None,ExtStr+Lvr,On,4.891136,0.940922,6.754867,17.349049,2.324153,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.1_Uwin0.8_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.6,0.1,0.8,0.15,None,ExtStr,On,4.891941,0.470825,7.560109,18.672457,4.289112,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin0.8_Uwal0.15_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.8,0.2,1.2,0.15,None,ExtStr+Lvr,On,4.900833,1.238162,6.263167,15.860215,5.054811,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.2_Uwin1.2_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.6,0.1,1.6,0.26,None,ExtStr+Lvr,On,4.907523,1.35719,6.071071,13.151365,1.814597,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin1.6_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.95,0.1,0.8,0.9,None,ExtStr,On,4.909306,0.942836,6.782663,24.813896,6.989162,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.1_Uwin0.8_Uwal0.9_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.6,0.1,0.8,0.15,None,None,On,4.921423,0.452878,7.641212,23.242349,7.34174,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin0.8_Uwal0.15_IntShdNone_ExtShdNone_DaylightCtrlOn_GH.png
0.95,0.1,0.8,1.6,None,ExtStr,On,4.936587,0.981727,6.76281,24.710505,6.989162,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.1_Uwin0.8_Uwal1.6_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.8,0.2,1.2,0.26,None,ExtStr+Lvr,On,4.942573,1.273847,6.273521,15.79818,5.054811,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.2_Uwin1.2_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.95,0.1,0.8,0.9,None,ExtStr+Lvr,On,4.943669,0.985984,6.767641,17.245658,2.324153,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.1_Uwin0.8_Uwal0.9_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.4,0.1,0.8,0.15,None,ExtStr,On,4.953227,0.258821,8.027435,12.923904,2.839055,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin0.8_Uwal0.15_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.4,0.1,1.2,0.15,None,ExtStr,On,4.954922,0.505646,7.608263,12.965261,2.839055,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin1.2_Uwal0.15_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.8,0.1,1.2,0.15,None,ExtStr,On,4.957747,1.230935,6.372848,23.325062,5.709929,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin1.2_Uwal0.15_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.6,0.1,0.8,0.26,None,ExtStr,On,4.960769,0.56557,7.515791,18.362283,4.289112,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin0.8_Uwal0.26_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.8,0.1,0.8,0.9,None,ExtStr,On,4.963965,0.940417,6.880268,23.46981,5.709929,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin0.8_Uwal0.9_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.4,0.1,1.6,0.15,None,ExtStr,On,4.979811,0.747206,7.237755,13.2134,3.023593,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin1.6_Uwal0.15_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.95,0.1,0.8,1.6,None,ExtStr+Lvr,On,4.981443,1.016204,6.78056,17.328371,2.324153,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.1_Uwin0.8_Uwal1.6_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.8,0.1,1.2,0.26,None,ExtStr,On,4.987049,1.265524,6.363808,23.407775,5.709929,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin1.2_Uwal0.26_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.6,0.1,1.2,0.15,None,ExtStr,On,4.988194,0.877122,7.029934,18.217535,4.289112,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin1.2_Uwal0.15_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.8,0.2,0.8,0.9,None,ExtStr+Lvr,On,5.00088,0.934089,6.954212,15.92225,5.054811,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.2_Uwin0.8_Uwal0.9_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.6,0.1,0.8,0.26,None,None,On,5.00123,0.527713,7.649714,23.428453,7.34174,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin0.8_Uwal0.26_IntShdNone_ExtShdNone_DaylightCtrlOn_GH.png
0.6,0.2,0.8,0.15,None,ExtStr+Lvr,On,5.006221,0.470533,7.756027,13.296112,4.210572,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.2_Uwin0.8_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.4,0.1,0.8,0.26,None,ExtStr,On,5.010556,0.361825,7.94933,12.882548,2.839055,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin0.8_Uwal0.26_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.6,0.1,1.2,0.15,None,None,On,5.014531,0.843498,7.132466,23.387097,7.34174,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin1.2_Uwal0.15_IntShdNone_ExtShdNone_DaylightCtrlOn_GH.png
0.6,0.1,0.8,0.9,None,ExtStr+Lvr,On,5.016706,0.962277,6.933074,13.172043,1.702801,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin0.8_Uwal0.9_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.4,0.1,0.8,0.15,None,None,On,5.024473,0.247245,8.16906,16.315136,4.894638,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin0.8_Uwal0.15_IntShdNone_ExtShdNone_DaylightCtrlOn_GH.png
0.4,0.1,1.6,0.15,None,None,On,5.028604,0.724629,7.359797,16.439206,5.216186,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin1.6_Uwal0.15_IntShdNone_ExtShdNone_DaylightCtrlOn_GH.png
0.4,0.1,1.2,0.15,None,None,On,5.030134,0.487486,7.767928,16.315136,4.894638,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin1.2_Uwal0.15_IntShdNone_ExtShdNone_DaylightCtrlOn_GH.png
0.8,0.1,1.2,1.6,None,ExtStr+Lvr,On,5.033336,1.665565,5.758889,15.942928,2.044221,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin1.2_Uwal1.6_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.6,0.1,1.2,0.26,None,ExtStr,On,5.045574,0.949712,7.003925,18.6311,4.289112,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin1.2_Uwal0.26_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.4,0.2,1.6,0.15,None,ExtStr+Lvr,On,5.048034,0.74523,7.357795,10.442514,3.128717,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.2_Uwin1.6_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.4,0.2,1.2,0.15,None,ExtStr+Lvr,On,5.054331,0.521495,7.75115,10.339123,2.93596,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.2_Uwin1.2_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.4,0.1,1.2,0.26,None,ExtStr,On,5.054879,0.637705,7.553368,12.820513,2.839055,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin1.2_Uwal0.26_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.6,0.2,1.2,0.15,None,ExtStr+Lvr,On,5.058728,0.871319,7.160469,13.172043,4.210572,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.2_Uwin1.2_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.4,0.2,0.8,0.15,None,ExtStr+Lvr,On,5.060145,0.258493,8.210825,10.215054,2.93596,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.2_Uwin0.8_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.6,0.1,1.6,0.15,None,ExtStr,On,5.067191,1.219905,6.578861,18.651778,4.567986,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin1.6_Uwal0.15_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.8,0.1,0.8,0.15,None,None,On,5.073855,0.672865,7.525693,27.812242,9.789127,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin0.8_Uwal0.15_IntShdNone_ExtShdNone_DaylightCtrlOn_GH.png
0.8,0.1,0.8,1.6,None,ExtStr,On,5.07448,1.078774,6.832657,23.200993,5.709929,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin0.8_Uwal1.6_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.8,0.1,1.6,0.9,None,ExtStr+Lvr,On,5.076202,1.985957,5.284319,15.79818,2.178432,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin1.6_Uwal0.9_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.6,0.2,0.8,0.26,None,ExtStr+Lvr,On,5.079974,0.562133,7.725508,13.2134,4.210572,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.2_Uwin0.8_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.4,0.1,1.6,0.26,None,ExtStr,On,5.082385,0.874266,7.195883,12.985939,3.023593,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin1.6_Uwal0.26_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.6,0.1,1.2,0.26,None,None,On,5.100672,0.91927,7.150198,23.449132,7.34174,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin1.2_Uwal0.26_IntShdNone_ExtShdNone_DaylightCtrlOn_GH.png
0.95,0.1,1.2,0.15,None,ExtStr,On,5.106052,1.495908,6.173347,24.751861,6.989162,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.1_Uwin1.2_Uwal0.15_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.95,0.1,1.2,0.15,None,ExtStr+Lvr,On,5.108707,1.545747,6.092661,17.307692,2.324153,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.1_Uwin1.2_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.8,0.2,1.6,0.15,None,ExtStr+Lvr,On,5.108806,1.72549,5.785471,15.839537,5.386679,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.2_Uwin1.6_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.6,0.1,1.6,0.15,None,None,On,5.109642,1.198196,6.688572,23.34574,7.824048,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin1.6_Uwal0.15_IntShdNone_ExtShdNone_DaylightCtrlOn_GH.png
0.4,0.2,0.8,0.26,None,ExtStr+Lvr,On,5.111185,0.361293,8.122316,10.483871,2.93596,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.2_Uwin0.8_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.8,0.1,0.8,0.26,None,None,On,5.111999,0.707727,7.531305,27.688172,9.789127,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin0.8_Uwal0.26_IntShdNone_ExtShdNone_DaylightCtrlOn_GH.png
0.95,0.1,1.2,0.26,None,ExtStr+Lvr,On,5.113364,1.548267,6.096316,17.328371,2.324153,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.1_Uwin1.2_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.95,0.1,1.2,0.26,None,ExtStr,On,5.116533,1.508222,6.170211,24.772539,6.989162,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.1_Uwin1.2_Uwal0.26_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.4,0.1,0.8,0.26,None,None,On,5.121366,0.343198,8.170667,16.253102,4.894638,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin0.8_Uwal0.26_IntShdNone_ExtShdNone_DaylightCtrlOn_GH.png
0.6,0.2,1.2,0.26,None,ExtStr+Lvr,On,5.124845,0.945974,7.14587,13.151365,4.210572,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.2_Uwin1.2_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.4,0.2,1.2,0.26,None,ExtStr+Lvr,On,5.125047,0.633154,7.681137,10.401158,2.93596,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.2_Uwin1.2_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.6,0.2,1.6,0.15,None,ExtStr+Lvr,On,5.128582,1.22269,6.679076,13.316791,4.487013,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.2_Uwin1.6_Uwal0.15_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.6,0.1,1.6,0.26,None,ExtStr,On,5.140835,1.302707,6.5632,18.403639,4.567986,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin1.6_Uwal0.26_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.6,0.1,1.2,0.9,None,ExtStr+Lvr,On,5.141614,1.353049,6.478446,13.047974,1.702801,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.6_g0.1_Uwin1.2_Uwal0.9_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.95,0.1,0.8,0.15,IntBlind,ExtStr+Lvr,On,5.146839,0.908385,7.247756,17.287014,2.255939,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.1_Uwin0.8_Uwal0.15_IntShdIntBlind_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.4,0.2,1.6,0.26,None,ExtStr+Lvr,On,5.147304,0.874388,7.306686,10.38048,3.128717,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.2_Uwin1.6_Uwal0.26_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.8,0.1,1.2,0.9,None,ExtStr,On,5.149694,1.448734,6.328642,23.387097,5.709929,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.1_Uwin1.2_Uwal0.9_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.95,0.1,1.2,0.9,None,ExtStr,On,5.153625,1.55384,6.155633,24.855252,6.989162,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.95_g0.1_Uwin1.2_Uwal0.9_IntShdNone_ExtShdExtStr_DaylightCtrlOn_GH.png
0.8,0.2,1.2,0.9,None,ExtStr+Lvr,On,5.154054,1.451724,6.330984,15.92225,5.054811,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.8_g0.2_Uwin1.2_Uwal0.9_IntShdNone_ExtShdExtStr+Lvr_DaylightCtrlOn_GH.png
0.4,0.1,1.2,0.26,None,None,On,5.154369,0.604253,7.780699,16.459884,4.894638,https://ricktitulaer.github.io/Parameterspace/design_explorer_data/officeNW/WWR0.4_g0.1_Uwin1.2_Uwal0.26_IntShdNone_ExtShdNone_DaylightCtrlOn_GH.png
